CODE,BULK LBR,BULK RATE,PRODUCT,WEIGHT,RSLR LBR,RESELLER RATE,CUST LBR,RETAIL RATE,RETAIL            T. PRICE,245,,BULK CODE,RSLR CODE,CUST CODE,
ANK13-05,175,420,Rose Gold CNC Crystal Anklets,7.75,238,483,343,588,"4,557",,,RIB,OAN,AZA,
ANK13-06,175,420,Rose Gold CNC Crystal Anklets,10.06,238,483,343,588,"5,915",,,RIB,OAN,AZA,
ANK13-07,175,420,Rose Gold CNC Crystal Anklets,10.06,238,483,343,588,"5,915",,,RIB,OAN,AZA,
ANK13-08,175,420,Rose Gold CNC Crystal Anklets,5.80,238,483,343,588,"3,410",,,RIB,OAN,AZA,
ANK13-09,175,420,Rose Gold CNC Crystal Anklets,5.05,238,483,343,588,"2,969",,,RIB,OAN,AZA,
ANK14-01,60,305,Enamel Fancy Anklets,14.80,106,351,182,427,"6,320",,,LX,RXL,RNO,
ANK14-02,60,305,Enamel Fancy Anklets,10.60,106,351,182,427,"4,526",,,LX,RXL,RNO,
ANK14-03,60,305,Enamel Fancy Anklets,12.70,106,351,182,427,"5,423",,,LX,RXL,RNO,
ANK15-01,60,305,Baby Enamel Anklets,12.00,106,351,182,427,"5,124",,,LX,RXL,RNO,
ANK15-02,60,305,Baby Enamel Anklets,11.00,106,351,182,427,"4,697",,,LX,RXL,RNO,
ANK15-04,60,305,Baby Enamel Anklets,9.50,106,351,182,427,"4,057",,,LX,RXL,RNO,
ANK15-06,60,305,Baby Enamel Anklets,12.10,106,351,182,427,"5,167",,,LX,RXL,RNO,
ANK15-07,60,305,Baby Enamel Anklets,10.70,106,351,182,427,"4,569",,,LX,RXL,RNO,
ANK15-08,60,305,Baby Enamel Anklets,11.00,106,351,182,427,"4,697",,,LX,RXL,RNO,
ANK15-09,60,305,Baby Enamel Anklets,13.90,106,351,182,427,"5,935",,,LX,RXL,RNO,
ANK16-01,140,385,RoseGold Charms Anklets,8.80,198,443,294,539,"4,743",,,RZX,RGN,OGZ,
